사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
Dec.22,3호선,330,교대(법원.검찰청),64,2,1427,577,3719,6778,8404,16457,12727,46899,10786,38502,11666,17832,15118,13488,17039,12122,21849,12512,27139,11354,27684,11005,31174,12083,47664,18508,64886,22357,29909,11230,27819,5922,30192,4936,23117,4529,10128,2592,1300,856,11,26,9,20,0,0
Dec.22,3호선,331,남부터미널(예술의전당),52,1,2691,1304,8603,23605,27415,57316,42701,145379,35855,86058,35560,51343,41305,40357,41435,42463,46158,49113,47921,48402,51390,48515,66107,52308,104196,59549,131359,68925,61175,43242,45690,26318,42938,20899,35053,15987,9715,10318,1171,2756,13,65,4,25,0,0
Dec.22,3호선,332,양재(서초구청),114,4,4973,2974,13292,40884,32705,103587,45286,226570,32924,123859,31588,60117,35568,51209,39714,45809,45996,48874,52759,44324,60490,45444,77260,51916,129693,74137,191147,83316,86342,51968,67715,32625,65056,30394,48789,26454,16777,14952,1917,4075,14,178,47,31,0,3
Dec.22,3호선,333,매봉,2,0,1512,569,6644,8713,16288,23142,21492,73778,14690,35452,12871,15950,13674,14847,13461,13412,15144,13258,18224,12408,20338,13651,23018,15738,40724,21783,63545,25626,20781,16527,16276,10326,18082,9541,11484,9199,3998,5104,440,1656,5,99,7,12,0,2
Dec.22,3호선,334,도곡,37,5,788,404,2784,5023,8137,12730,10825,18536,7461,14979,6412,7654,6575,8282,7120,7226,7938,7348,8512,6971,10462,7178,12886,7738,17555,9783,16873,10495,8340,8217,7055,5087,5705,4976,4395,4596,1098,2871,158,1780,5,339,5,5,0,15
Dec.22,3호선,335,대치,30,0,2694,787,11614,8182,23336,10544,26833,25262,16852,18251,14394,14059,14612,13549,15704,16397,16312,19551,16361,19986,19090,22163,21974,25305,29845,28772,28146,28232,16977,23665,12829,13547,13282,13620,20902,11923,2713,7333,393,2302,3,39,4,9,0,11
Dec.22,3호선,336,학여울,8,0,511,257,1494,1619,3870,3260,4873,8208,3085,6645,2619,6013,3235,4143,4103,4435,4422,4710,4595,4471,5814,4014,6861,3779,8514,3909,8215,4169,2516,3299,1768,2430,1598,2318,953,2119,286,1258,37,474,0,10,0,0,0,2
Dec.22,3호선,337,대청,68,1,3521,1018,10313,6400,26367,16171,34970,28341,20167,13344,16929,8616,15193,8630,14421,10546,15277,11336,15470,12959,17954,15101,20434,17047,25967,21018,27198,28206,11597,22626,8395,15484,6639,14995,5259,16189,1855,9044,239,3001,4,58,8,9,0,11
Dec.22,3호선,338,일원,2,0,2074,1633,8254,9976,21829,31539,25445,25297,17587,20017,18860,16288,19385,13265,18652,15594,16783,16899,18232,16397,23389,14876,30763,14238,37805,16107,18551,20111,10199,16767,6318,11164,4531,11583,3859,11743,1470,5599,149,1858,4,41,0,9,0,3
Dec.22,3호선,339,수서,197,14,4389,2714,11314,17447,33290,34389,44128,54572,30977,34531,34256,23844,26672,20334,32354,26439,31369,24366,24427,25484,37247,30792,41002,34722,48399,41158,52883,52802,24339,38966,24083,27824,17040,25642,16695,22582,7912,9233,934,3488,26,334,3,20,0,33
Dec.22,3호선,340,가락시장,42,7,2659,440,6758,5433,19173,11021,21651,28928,15565,15469,14026,11298,14255,12181,14559,13389,14579,13389,15701,13839,16794,16087,18269,17478,23384,22443,29339,26928,12519,18580,10986,12286,10351,10978,7483,10046,3212,6073,421,2034,8,89,0,0,0,0
Dec.22,3호선,341,경찰병원,22,1,2838,254,7209,3417,21384,8527,25993,27890,14909,15834,11743,9030,11186,7745,10003,8726,10207,9966,10449,9459,11927,9882,11723,11123,17448,16293,20845,22680,7399,16908,6501,10588,5845,9474,4035,9206,1379,5904,166,1689,1,33,0,1,0,0
Dec.22,3호선,342,오금,30,0,3967,6,7993,2551,25148,5764,30622,13393,15518,6042,9549,5061,8646,4689,8771,5937,8268,6515,7311,6567,7235,8652,9352,10386,11747,14387,11964,20713,4698,14765,3580,10472,3050,9406,2306,10499,763,6298,106,2484,3,39,1,0,0,0
Dec.22,4호선,409,당고개,45,0,7712,41,14668,4576,40574,5571,35477,10580,22506,10052,16710,8830,15395,9062,15646,9999,15004,10668,14291,11428,12605,14010,14058,17064,13803,19679,11526,26192,7021,25898,4970,16910,4510,15634,2998,15175,1341,10676,348,3813,2,431,0,7,0,0
Dec.22,4호선,410,상계,32,2,13359,290,35820,7113,85745,15077,72942,20680,43765,16788,32549,14588,30456,16280,30655,20374,28510,21880,25512,23632,25710,28643,28624,35378,27882,44687,23688,63773,14681,60283,11362,36347,10807,33806,10163,31941,3605,22004,547,6121,7,598,0,13,0,0
Dec.22,4호선,411,노원,212,1,11279,601,23148,7315,49946,12098,54712,29303,32854,32500,27065,24181,27468,26330,30642,31648,29850,35191,30415,34259,32809,36759,36640,44464,37526,58469,35251,81418,24783,66031,26392,39056,26350,34439,23206,31485,11370,21233,1955,7108,15,861,0,3,0,0
Dec.22,4호선,412,창동,1823,58,15417,2684,38293,12294,84241,18761,78894,37204,49999,30222,41640,28787,39727,29652,42243,35086,40709,41072,38605,45734,42127,51042,48160,56252,48967,67150,47389,88818,25592,77022,20065,47597,18783,43339,14847,40372,7098,25842,1257,9532,20,248,0,2,0,0
Dec.22,4호선,413,쌍문,229,24,21932,1053,51083,8587,124791,14698,124864,29120,77013,21793,55017,19932,48129,23653,48453,27479,43628,29784,39871,33422,37742,43810,41045,56184,41232,71089,36167,101623,21914,99370,16709,61286,13909,56092,10456,53331,4859,35407,639,10870,5,205,0,0,0,0
Dec.22,4호선,414,수유(강북구청),110,9,20721,2839,47965,10722,113973,19984,119629,54415,77663,39881,56869,33326,53470,35741,54927,38634,54800,43023,52471,46251,52691,58162,57306,71619,62332,89079,65041,125186,38149,113003,28933,72079,26772,63212,21700,58711,11989,40511,2019,9912,23,311,0,0,0,0
Dec.22,4호선,415,미아(서울사이버대학),38,1,10514,1816,20443,6046,45054,14892,50217,32469,33477,20611,25872,15576,24178,18192,26466,17703,25124,19052,24725,21331,23928,26020,27277,29827,28142,35257,27937,45859,16530,39521,11575,24155,10111,22173,7883,20261,3045,13739,445,3668,68,66,0,0,0,0
Dec.22,4호선,416,미아사거리,56,1,14739,2310,35673,7779,91124,18403,95795,32163,60016,31548,44681,28586,42782,31655,43731,34687,43896,37616,43469,41237,46874,52042,50441,59696,47236,73370,45151,100899,31362,81020,30818,49476,19346,45594,15241,40700,7135,25254,1098,6133,18,117,0,0,0,0
Dec.22,4호선,417,길음,20,1,9220,1960,31354,7444,85269,13131,83791,29085,49091,23931,35496,20870,32241,23820,33183,25005,32192,29124,30136,30776,31297,33162,36965,40569,38813,52993,33248,76564,18145,62615,14052,38947,12311,38466,11328,37095,4139,22737,651,6365,11,122,0,0,0,0
Dec.22,4호선,418,성신여대입구(돈암),24,4,5558,1619,17715,7524,44703,16248,50186,36798,35441,27818,29117,23302,30342,29363,35134,28752,36070,31207,36990,33686,38754,34446,44664,40986,49157,51363,49326,68836,30280,54713,27300,34701,30415,33232,26686,30364,12566,20141,1960,6140,17,169,0,0,0,0
Dec.22,4호선,419,한성대입구(삼선교),32,0,6385,1047,11825,6728,29364,16766,35649,27862,25470,23494,20927,19193,21174,18004,23136,19807,24408,20330,23911,20869,25883,22562,32661,25894,33764,30790,32068,37036,18434,30184,15363,19481,14599,18918,10336,18730,4746,12676,668,5391,8,1880,0,71,0,0
Dec.22,4호선,420,혜화,27,3,3485,2547,7941,22197,17121,48123,20211,118966,24343,100015,32136,77051,51111,65497,53180,78396,53743,95137,65687,84011,81489,69480,98413,67992,114635,77496,122232,83095,74972,59312,73794,22113,99760,20689,96561,18083,33515,11550,3872,3612,60,541,0,10,0,0
Dec.22,4호선,421,동대문,198,12,4433,2245,2819,13203,4938,32547,6407,69635,11064,64762,17168,56727,23153,53306,30707,46608,35884,44131,46669,40757,55246,35286,67941,27376,89231,22339,60612,18466,32144,18063,23476,12540,26230,8449,14827,6201,6563,5660,961,1241,17,125,0,1,0,0
Dec.22,4호선,422,동대문역사문화공원(DDP),383,5,5362,1571,4258,12514,7718,26454,10289,64291,12470,38717,15608,28440,19842,27978,22723,26858,24691,27124,31128,28241,37484,25775,45048,23417,62429,25106,78121,26468,44082,24987,34804,16703,34056,14132,24083,11335,11781,7472,2939,2430,72,244,6,100,0,13
Dec.22,4호선,423,충무로,90,12,3233,3221,4878,22374,9565,55171,15320,167284,17165,102251,19355,59343,24923,47602,29534,43217,34820,42037,41565,37537,48560,34244,60804,36723,94286,43468,143343,48283,69261,27472,52458,15569,53689,14485,43384,12730,22782,8654,3996,2985,16,252,47,30,0,6
Dec.22,4호선,424,명동,33,4,1042,864,3260,15677,5473,49115,9833,104948,19013,75751,26822,55282,34610,58423,37740,64855,41241,66750,48492,66624,59834,69829,70462,78478,90532,84570,141014,76685,86955,50698,84524,32718,78107,23532,57218,14551,18218,7746,1619,2478,35,342,0,6,0,0
Dec.22,4호선,425,회현(남대문시장),26,0,1846,643,3108,18755,4844,51343,7444,127892,9512,96989,15110,71966,26208,69305,35946,59707,45854,54817,57991,52395,69673,45782,86783,41405,107918,40434,142832,37546,67541,22622,62545,12635,31377,9789,18570,5996,5828,3038,777,1031,10,114,0,0,0,0
Dec.22,4호선,426,서울역,205,7,4187,794,5962,13623,11916,37829,14685,78823,13363,50924,12251,30614,14771,28888,15659,34206,15800,33917,16418,31137,18322,34749,24090,38250,47296,44237,59949,45044,24141,34150,15938,24823,14837,23962,11537,18959,5314,9651,654,3077,16,361,0,14,0,0
Dec.22,4호선,427,숙대입구(갈월),9,1,2840,914,7297,7285,18353,21776,25346,44827,19819,27669,17360,20971,18315,20601,21720,19967,21552,19923,23878,19653,25527,20548,32159,24810,38869,32746,49346,41689,24257,25811,22219,16704,23564,15501,20815,14654,10817,8870,1400,2490,139,136,0,1,0,0
Dec.22,4호선,428,삼각지,7,1,693,344,2196,4772,7143,13608,9804,21401,6335,13234,5317,9987,5848,10570,6990,11278,8515,10745,8940,11203,9995,12213,12568,14218,18142,18013,24013,23246,11747,13883,10743,7663,13017,6294,12773,6000,6815,4012,919,1492,0,63,0,0,0,0
Dec.22,4호선,429,신용산,6,0,1599,877,4373,12746,10984,34676,15772,82359,13210,65632,13956,35510,17506,28319,19912,29379,23631,29820,25334,29219,32846,29746,42002,32057,66890,38717,94678,45485,44616,25968,36359,14376,37180,11732,28259,8892,13077,5408,1828,1475,16,77,0,1,0,0
Dec.22,4호선,430,이촌(국립중앙박물관),29,2,1222,840,4348,6663,12206,13237,16541,26723,11655,30985,10150,27789,17766,20545,23469,21214,17991,22635,20462,20734,25155,19728,29833,17616,33991,17539,30401,21685,10991,14009,9607,9208,8731,8636,5274,7732,1856,4990,371,1471,9,82,0,1,0,0
Dec.22,4호선,431,동작(현충원),6,0,313,125,497,1608,1597,2566,2206,4737,1787,2875,1403,2397,1835,1796,1712,1827,1733,2236,1918,2195,2546,2182,3083,2069,4443,2363,3942,2355,1496,1692,1344,1926,1199,917,776,772,267,565,75,405,5,89,0,0,0,0
Dec.22,4호선,432,총신대입구(이수),97,5,5601,950,15216,8895,46245,17137,57397,42140,37904,29997,28799,24399,28775,26185,30783,29007,31570,31052,30295,32957,30399,39850,33331,45893,38698,56978,42211,78882,25169,49001,23082,28748,21269,26498,19654,24331,9341,14807,1220,3539,13,662,0,0,0,0
Dec.22,4호선,433,사당,146,57,9665,1360,25048,15585,68716,22140,81773,33287,67692,27234,47003,25684,37611,36351,41427,37096,41366,31337,42664,31236,43176,37387,44962,53032,50924,75185,53176,103530,37206,64676,35337,36725,41405,34390,38608,32400,19134,21278,1995,6155,18,930,0,32,0,2
Dec.22,4호선,434,남태령,55,3,485,72,1016,1377,2135,4498,3229,6518,2767,2671,2314,1377,2176,1219,2370,1394,2149,1294,2407,1359,2064,1498,3167,1561,5496,1845,4143,1806,1642,1504,1076,1518,780,1278,410,846,196,559,22,181,0,0,0,0,0,0
Dec.22,경부선,1001,서울역,5,0,42,456,102,3433,8477,5778,21186,6232,16062,5313,16652,4441,18767,2996,22470,4576,16247,4388,10816,4129,22579,4654,21322,5095,20498,7594,22861,9644,18428,5532,12580,4169,16921,3544,13291,3037,7021,687,1130,34,2,1,0,0,0,0
Dec.22,경부선,1002,남영,83,5,2221,1229,4400,6950,12189,20588,19793,49020,12699,27400,10686,14577,11136,12626,12969,12262,12510,12763,14289,12475,16528,12938,20379,14857,27478,19098,38280,25944,16092,15669,13464,10765,13997,9959,12885,8848,5712,6120,161,777,0,2,0,0,0,0
Dec.22,경부선,1003,용산,259,3,4261,4906,6575,35938,19191,75616,32507,155362,36195,118819,39335,90745,53917,76226,53185,78405,65298,82974,62461,82857,100372,82566,113684,82227,137155,85517,165122,92753,99934,60396,99696,38365,99509,28114,67856,15412,27034,7256,759,1867,1,2,0,0,0,0
Dec.22,경부선,1004,노량진,381,4,4398,1848,6826,5143,16566,8185,24292,14171,13502,12350,10612,10273,11693,14573,13785,15827,15221,14884,15445,13836,17169,16492,19160,21841,19972,31206,19748,45895,15063,23408,14908,13562,16932,12648,17756,11286,6596,7108,183,945,0,3,0,0,0,0
Dec.22,경부선,1005,대방,374,0,5268,2065,9178,8097,24925,29780,32763,46012,19111,21849,14810,12819,14637,12587,15863,13211,15558,14669,15957,13791,17178,15226,17702,17970,28490,26196,37538,34255,13765,21833,11384,14621,10632,15712,7635,14564,2248,9756,65,1395,0,2,0,0,0,0
Dec.22,경부선,1006,영등포,3803,113,15774,6042,17280,21962,39062,58302,57267,127314,40195,94512,38927,80320,45954,91579,55039,93122,59682,99646,72709,88712,92240,91065,112025,91916,129408,106831,167051,128535,98898,77744,106380,42000,88800,33026,72823,27984,29155,16613,745,3818,11,1,0,0,0,0
Dec.22,경부선,1007,신도림,352,3,2399,620,3471,2458,9053,6557,11136,15151,6314,6974,4796,4959,4625,4700,4953,5092,5039,5443,4938,5013,5432,6208,6355,7084,9800,9784,13842,13803,5902,7891,4622,4549,4970,4366,4245,3990,1602,2592,65,926,2,5,0,0,0,0
Dec.22,경부선,1032,신길,494,2,9506,1748,10960,4637,24437,16872,33271,27651,18289,11131,12014,7015,10887,6918,12343,8055,10912,8689,10563,8282,11351,9942,14310,12274,19394,16405,27903,22290,10686,15821,7344,11021,6493,12579,5079,10801,2057,7024,104,1348,1,1,0,0,0,0
Dec.22,경부선,1701,구로,10543,21,21808,4756,18611,13415,36511,31559,37260,73682,26057,40959,19960,27386,20670,24616,22914,23544,24327,24769,25477,24590,29400,26496,36688,31703,55212,40248,61351,43893,26186,29635,21421,19859,20297,20168,13088,18030,4883,14948,78,12899,2,255,0,1,0,0
Dec.22,경부선,1702,가산디지털단지,1435,4,7255,3079,6956,14993,15608,52374,15234,148336,11393,74295,10371,24744,11652,17176,14321,16599,15151,17572,15872,17300,19363,17217,30096,20507,71086,25089,103321,30271,40567,20614,25679,13752,21923,13158,15981,11480,6698,7002,296,1254,0,0,0,0,0,0
Dec.22,경부선,1703,금천구청,459,5,11059,1169,17453,5037,44081,14650,42037,30837,25155,11240,18570,9357,16707,10036,17088,13340,15968,14644,14900,14284,15406,18607,16887,21372,18783,29222,26416,43954,11112,32781,8371,17971,7460,18321,5080,15105,1712,10622,63,923,0,0,0,0,0,0
Dec.22,경부선,1704,석수,294,1,7194,2407,15302,6322,36504,12105,35409,15887,20223,10154,14419,7798,13507,6573,13039,7995,12229,8991,11798,9564,13618,11316,15150,14461,18278,21383,17191,32419,9542,23791,6112,15193,4991,15600,3488,13574,1382,8529,53,769,0,0,0,0,0,0
Dec.22,경부선,1705,관악,133,0,7101,1209,12644,3660,32962,6272,31074,10938,15262,9131,11625,9062,10749,7424,11433,8125,10803,8282,10175,8451,10767,10209,12608,12956,12276,17763,11224,28973,6315,21340,4702,12548,4633,13013,2811,11181,1071,8249,47,806,0,0,0,0,0,0
Dec.22,경부선,1706,안양,294,2,14287,3507,32603,12449,86212,19315,75232,38163,42784,37521,32733,29476,34250,32086,37495,33029,35395,37048,37262,33443,41408,40110,48640,44748,48175,59421,38734,87620,24299,65870,22266,35543,23094,34106,18525,27899,7713,20035,367,2959,0,1,0,0,0,0
Dec.22,경부선,1707,명학,67,6,6155,1875,10438,7750,26133,25102,23335,55815,12604,14542,9187,8286,9339,8339,10539,6821,10274,8180,9961,7872,11363,7964,14856,9812,26506,12704,37094,19586,11462,17505,10814,10187,7635,9240,4455,8695,1936,6485,128,1052,0,1,0,0,0,0
Dec.22,경부선,1708,금정,317,6,22733,5752,37002,18320,90073,40181,89280,90731,55090,34218,38210,23483,35622,24956,36475,27656,35215,29460,32600,30640,35054,39394,43301,49032,64110,66728,75271,96763,34513,74779,28092,46844,26035,44784,19648,40169,8842,28045,656,10967,0,1,0,0,0,0
Dec.22,경부선,1709,군포,22,2,4932,1769,10997,7829,19248,31162,18528,46883,10136,8361,8097,4755,7577,4983,7976,5660,7662,5737,7325,5597,7916,7040,10000,8523,24167,10643,37159,16165,11084,12489,9484,9030,5741,6560,3116,6440,1177,3961,64,659,0,0,0,0,0,0
Dec.22,경부선,1710,의왕,63,1,5966,2652,12817,10432,28365,27680,28410,29597,13782,9072,11171,6709,11246,6828,11353,8331,10951,9105,10525,8900,11994,10392,18059,13323,27315,18053,24657,26854,10780,19319,7939,14431,6082,12144,4154,10700,1889,7451,82,1445,0,0,0,0,0,0
Dec.22,경부선,1711,성균관대,118,1,8321,1778,27591,7165,67336,9432,53186,21823,27388,16197,21730,13305,20851,13725,21634,15375,20043,17476,18977,17027,20799,21070,24883,25998,27024,40114,24419,58091,14123,49225,11829,30378,11351,27784,9741,24734,4354,17157,242,2683,0,1,0,0,0,0
Dec.22,경부선,1712,화서,378,38,7778,2439,22040,6173,42531,5849,33729,10081,15560,5853,11885,5975,11040,6504,10430,7158,10087,8609,8973,8592,10078,10388,13736,13979,13322,21838,10700,34860,5709,28407,4343,16560,3815,14085,3245,13464,1134,8815,74,1785,0,5,0,0,0,0
Dec.22,경부선,1713,수원,1318,61,18959,4789,35253,30104,69446,49464,65615,71990,46016,66224,43941,66706,50043,72738,53527,81468,56139,76741,60936,77068,77270,77793,95393,90713,96378,102020,99450,128104,78180,92518,82993,53335,65709,42923,56321,36953,22536,23488,809,7846,1,1,0,4,0,0
Dec.22,경부선,1714,독산,576,3,7671,2403,17554,12131,45765,42769,41956,110010,23426,48837,17926,17356,18172,12637,19929,14085,18939,14652,18617,14236,20532,17293,28814,20273,63590,28630,75867,44031,33793,34664,18846,20569,13327,21988,8559,19354,2767,11963,123,902,0,0,0,0,0,0
Dec.22,경부선,1715,세류,344,5,3540,710,8099,2381,15528,3919,10211,3856,5613,2929,4739,2421,4114,3184,4026,3053,3884,3326,3709,3538,4244,4390,5206,5718,7017,6760,5433,12575,3486,9185,2626,6085,2370,5736,1413,4596,511,2875,17,970,0,1,0,0,0,0
Dec.22,경부선,1716,병점,3643,18,7879,3455,27479,10402,52017,20835,40731,28005,27537,17181,25602,14152,25343,15179,24702,18391,22333,17673,22251,19818,25787,24922,30921,28989,34455,39822,32739,50938,17918,42490,13574,31656,12546,25450,8803,23756,3101,18000,44,7530,0,12,0,0,0,0
Dec.22,경부선,1717,세마,341,1,2005,664,5780,2022,9486,4254,9343,9794,5819,2508,4745,1923,4298,2329,4486,2337,4529,3245,3892,3349,4418,3457,5629,6320,6841,6822,8196,8977,3233,7896,2022,5559,1984,4833,1080,4334,562,2504,48,236,0,0,0,0,0,0
Dec.22,경부선,1718,오산대,227,0,3720,988,7239,2584,11786,3965,10062,9368,6074,3381,5298,3418,5038,3351,5186,3364,5894,4403,4924,4433,6224,4191,7232,6271,7452,9052,8680,12073,4133,9759,3238,6061,2964,5510,2071,4168,1123,3088,90,344,0,0,0,0,0,0
Dec.22,경부선,1719,오산,517,2,8428,2235,14978,9107,24241,25318,23984,21984,17732,12123,17966,10622,17017,9962,18025,13363,16873,14414,16426,14666,17486,18462,22270,22024,25059,27741,26953,30329,15420,25730,12246,18983,8701,14989,5166,10817,2388,8069,156,764,0,0,0,0,0,0
Dec.22,경부선,1720,진위,37,1,1027,300,1577,2601,2891,8584,2759,9236,1985,2813,1750,1941,1814,1092,2047,1138,1874,1223,1809,1218,3863,1441,4131,1806,8424,2221,10093,2380,2840,2432,1783,1533,1411,1403,654,1405,261,887,12,79,0,0,0,0,0,0
Dec.22,경부선,1721,송탄,44,1,5151,1114,8408,3549,13166,7204,11444,8681,9582,4249,8217,3970,8509,4214,8329,6004,8406,5950,7624,6210,8128,7890,10176,9942,10669,12734,11306,13061,6418,13780,4600,10159,3944,8816,2360,8435,991,7020,47,634,0,0,0,0,0,0
Dec.22,경부선,1722,서정리,29,1,3900,4655,11420,9831,15762,17556,15781,20074,12862,8040,12098,6826,12421,7865,14061,9526,12453,10172,13787,10201,15676,11889,19708,16959,34974,18737,23998,18037,13557,18641,11114,13547,8512,11437,4478,10711,2022,8255,113,1068,0,0,0,0,0,0
Dec.22,경부선,1723,평택지제,10,1,2612,12386,4549,13515,10884,14399,8719,8469,5887,4862,5560,3464,5385,3761,6633,3955,4933,4056,6087,4771,8543,5634,9352,6503,17400,8424,12482,9136,11001,8776,5900,6433,5998,5604,4702,4988,1900,3079,60,475,0,0,0,0,0,0
Dec.22,경부선,1724,평택,98,3,7066,2761,13404,8915,26901,15953,25782,26099,23781,20352,23253,16623,21472,21299,22643,23970,22900,23131,23539,26863,26460,28180,30352,31762,34723,38165,31322,39037,22090,27613,22613,21110,15850,16762,12652,14389,6828,7371,266,2763,0,2,0,0,0,0
Dec.22,경부선,1725,성환,12,1,2485,492,3615,2714,6449,11553,6345,14193,6375,10359,6889,7292,7270,5423,7707,7750,9882,7287,10532,5355,11237,6104,12331,7116,16864,7960,11800,8311,4711,6469,4061,5679,2366,4796,1464,4420,704,4037,76,1098,0,0,0,0,0,0
Dec.22,경부선,1726,직산,36,5,804,285,1483,1261,1968,3079,1818,3686,1353,1313,1364,770,1539,1043,1183,964,1232,1056,1090,1093,1431,1041,1766,1408,3365,1775,3533,1973,1233,1729,877,1132,613,1093,340,984,147,772,13,169,0,1,0,0,0,0
Dec.22,경부선,1727,두정,1145,2,5646,836,9948,3532,16850,8513,15027,17289,11838,16774,10301,13845,11135,11174,13232,12725,12263,12396,12906,10646,14570,9945,15869,12400,17520,17743,17325,23093,10092,15577,7713,12897,6893,9440,4634,9573,2397,6919,39,2191,0,7,0,0,0,0
Dec.22,경부선,1728,천안,1909,8,3123,657,6133,2693,10462,6294,9624,12307,12502,11249,10287,11125,12169,13407,12215,13426,13144,13031,16417,13022,18940,13711,19134,13673,17274,17997,14632,18507,9623,12214,8414,9007,6041,6427,3419,5279,2339,3577,47,2056,0,10,0,0,0,0
Dec.22,경부선,1729,당정,27,0,3487,959,10059,2875,25908,8297,23393,15808,11808,7710,9406,5245,8823,5111,9983,6341,9111,6039,8347,6592,9317,7916,10290,9855,12556,13537,13929,20016,5594,17319,4493,11902,4006,10337,3011,10318,1130,7392,75,1198,0,0,0,0,0,0
Dec.22,경부선,1749,서동탄,0,0,1067,7,4197,784,10013,1602,3599,1292,2661,783,1769,681,1734,1007,1412,1052,1456,1094,1452,1368,1892,1850,1879,2096,1838,2929,2483,4557,885,5026,673,2359,596,2173,386,2640,111,1689,19,1418,0,14,0,0,0,0
Dec.22,경부선,1750,광명,0,0,8,1190,2961,2829,10957,6036,10324,6851,6282,5988,4153,3955,7390,2300,5350,7480,4968,619,3797,8538,9360,4268,2876,5371,10016,7273,10092,12023,8171,6772,6823,3654,3711,6114,2620,2542,1128,347,1,0,0,0,0,0,0,0
Dec.22,경인선,1801,개봉,1182,5,16786,4331,36249,10583,91380,15335,88619,23721,53571,20043,37343,16560,34348,20556,34727,25549,32545,26075,28782,30173,28566,36487,33721,45338,34337,61012,31902,87095,18715,68320,15209,41977,12188,39899,9504,34758,3805,21280,78,1463,0,1,0,0,0,0
Dec.22,경인선,1802,오류동,413,1,12083,1415,18739,4905,47821,5858,48143,11427,27861,11205,20538,8980,20123,9706,21596,12022,19003,13447,16080,15257,16435,18600,17334,22123,16528,28374,14386,42326,8381,36042,6451,22374,5709,20436,4254,19055,1820,12979,62,907,1,1,0,0,0,0
Dec.22,경인선,1803,역곡,853,16,27467,3105,43358,10391,115130,13997,114541,31855,63939,30308,44048,22267,40213,26128,41279,30528,39379,30772,35881,35688,36971,39154,40216,56956,42026,73117,37731,112838,22307,90842,17975,52360,15860,50357,14035,43337,6128,33006,182,2361,0,1,0,0,0,0
Dec.22,경인선,1804,부천,2143,22,36395,4175,42080,11850,103643,16872,104402,42613,61592,40521,45996,37470,47635,41983,51095,48687,50539,53380,50425,53906,54304,57219,59049,68902,60025,89562,57065,120110,36467,100043,31753,57841,30764,51332,26508,42329,13098,30923,456,4032,0,5,0,0,0,0
Dec.22,경인선,1805,송내,1486,5,15410,8039,37761,15438,105965,27963,88827,76007,50294,38629,38090,22732,38024,23435,38151,26106,35895,28880,33175,29770,35766,32840,41427,45336,48884,60942,74255,91050,29422,81701,22295,48365,19972,43140,15544,40828,7601,25600,510,3389,0,1,0,0,0,0
Dec.22,경인선,1806,부평,7482,77,21187,5202,34716,12908,80291,19125,78033,33164,45570,37179,38662,34438,39793,42879,44174,49155,44911,57116,46337,57379,52672,59067,59441,74140,63491,88797,57247,121139,42042,98766,39400,53681,41104,46473,35858,39324,19175,25750,2928,6387,4,9,0,0,0,0
Dec.22,경인선,1807,백운,85,2,7157,1459,13106,3777,26569,4369,24179,7920,14681,6485,12225,5538,12045,6665,11488,7213,10521,8230,9150,8939,9356,11325,10892,14188,10797,17822,8613,21764,4407,21468,3618,12391,3431,11801,2649,10630,1202,7799,111,1703,0,9,0,0,0,0
Dec.22,경인선,1808,동암,483,7,18299,3060,33064,8101,61503,13006,58565,17027,33673,13747,27353,13308,24893,15944,25990,18750,24512,19368,21978,20038,22037,25302,24604,33719,25890,44937,23391,59410,14115,53506,11690,33078,10602,31201,8168,28016,4165,18483,323,4214,1,26,0,0,0,0
Dec.22,경인선,1809,주안,777,35,13832,4328,27500,9053,60407,17550,55795,28848,35783,20798,28287,17307,29001,17313,32146,21990,30670,20707,28680,23579,31083,24850,35522,34645,40279,41552,37289,55524,22073,58762,19488,33650,17831,29099,15581,27047,7692,20705,807,5261,3,37,0,0,0,0
Dec.22,경인선,1810,제물포,664,3,7344,1948,15353,5345,38319,12827,33045,31790,18652,13481,15869,9656,16559,8649,16703,11016,16353,12463,14675,11681,17997,13495,22038,16536,22123,22114,22695,29282,9834,29430,7331,16871,5983,15587,4031,14973,1623,10984,82,3413,1,17,0,1,0,0
Dec.22,경인선,1811,동인천,1231,13,6547,2529,16446,10598,38654,23170,31656,34092,20059,16831,18823,18733,20487,21874,22733,20012,22748,21940,23477,21082,27526,20947,30901,24811,38963,28217,41390,33071,16774,32610,13054,19677,10716,15750,7287,15239,2592,10267,25,3777,0,24,0,0,0,0
