사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
Dec.22,2호선,208,왕십리(성동구청),828,2,7115,1194,9598,7086,24413,13151,47161,28224,29977,18965,20785,16073,20947,18256,23672,20260,24557,21277,25485,22061,28601,24011,33259,29332,37500,40813,39204,61100,25238,36836,25525,22750,29906,20919,30367,20236,16797,14286,2960,5764,58,327,128,113,0,0
Dec.22,2호선,209,한양대,4,0,1105,305,2465,5734,5051,11551,8483,49797,6713,48281,8242,37119,14100,17208,16101,29429,19036,25260,21965,19003,27597,13214,32458,10660,42106,12697,35684,15089,16455,8276,13391,5988,13929,5691,10285,5321,5812,3962,1249,1242,4,76,12,31,1,1
Dec.22,2호선,210,뚝섬,5,0,2845,2252,7759,15387,17425,37403,25419,137215,18479,90765,14777,43579,18340,32115,21398,33156,24407,36953,31141,31916,37222,34110,48723,34026,74152,40586,128876,46492,61560,26475,40576,14516,39205,13129,28901,11923,12169,8137,1944,3063,29,155,20,36,0,0
Dec.22,2호선,211,성수,49,2,5149,4140,9183,29375,21631,74400,32314,271438,23608,160857,21797,71836,25228,56830,31553,59234,39278,65102,48032,62425,59420,63478,78861,64971,139671,68912,247234,76176,115297,43997,82033,21775,78564,17945,59578,15939,25233,11687,3834,6648,30,1004,98,45,0,159
Dec.22,2호선,212,건대입구,271,14,15230,1502,21312,15432,50374,25029,92914,62635,63579,52717,38650,44238,38726,51372,45163,58584,50346,64455,53998,62955,59166,71134,70047,85485,80871,113191,89263,161694,66247,109096,66977,64754,75956,60753,79177,55216,48789,33378,8125,12216,137,1155,134,169,0,26
Dec.22,2호선,213,구의(광진구청),33,2,12941,1592,25799,18540,66092,15250,117356,38680,70969,24843,38147,20457,32879,21312,32971,25247,32400,27724,31298,29214,32732,37410,40458,44243,41712,59642,44448,96877,24218,67391,18546,44687,17673,44193,17202,42324,8966,25425,1517,8246,30,361,18,75,0,14
Dec.22,2호선,214,강변(동서울터미널),22,0,8404,2076,26087,18716,73830,22164,114497,42821,85061,38368,68909,37566,61913,37983,57720,43770,55510,47482,50688,52887,53148,63113,58021,68756,61285,83425,64280,109697,43386,78442,34798,54801,26970,48311,17855,44073,7696,24853,1124,6336,21,297,36,44,0,0
Dec.22,2호선,215,잠실나루,5,0,3199,1622,10519,10268,34288,20896,46936,36695,31050,24948,24920,19328,24810,16967,24117,21341,21981,21548,24092,20608,25967,21167,30913,22240,37293,27196,29209,38014,14055,27858,10729,17942,7877,18586,6340,18407,2771,10532,510,3229,7,145,5,17,0,0
Dec.22,2호선,216,잠실(송파구청),99,6,11984,4824,45968,30909,115835,73449,161878,182841,119055,193772,85335,133029,89148,139374,98968,135036,110219,142862,124292,143310,154415,160799,178774,174733,224760,207589,264930,254440,188257,165720,197131,104168,187331,98232,129341,91656,37431,53778,8869,10927,353,577,64,154,0,0
Dec.22,2호선,217,잠실새내,42,1,5154,736,15995,8200,51325,16388,79196,27660,50157,29759,34419,25103,33983,27682,34499,32003,34619,36054,33356,38753,37804,44392,39785,51016,44296,67197,45198,89642,32385,61183,29076,37905,29162,35236,29682,32426,16931,18552,2652,5734,44,286,69,45,0,0
Dec.22,2호선,218,종합운동장,27,1,1622,975,5228,7470,15093,12741,22410,23784,15889,13920,12398,10850,11372,9937,11788,13452,11140,18585,16034,18596,15521,19916,25805,19941,22058,32824,21065,42609,11028,24278,13198,10858,32201,11644,11646,11162,6683,6541,1360,1813,39,186,5,7,1,4
Dec.22,2호선,219,삼성(무역센터),200,0,4760,5586,7225,41601,13648,126911,19220,329030,20977,244604,26663,125241,41861,98650,54741,92565,71509,99273,89251,89662,116391,82999,144608,78140,235584,84796,313217,78363,171343,40872,135812,20755,120612,17864,80557,13965,25127,8483,4023,4341,84,1168,23,54,0,141
Dec.22,2호선,220,선릉,130,4,5054,6156,10849,42962,19876,109361,33249,285814,32355,231830,37725,110292,50336,67095,59821,60682,67455,66885,80167,56119,100388,50113,128136,51640,198853,61806,285768,65279,141193,37975,94175,23428,98329,21660,84611,19434,31510,11803,5158,5310,39,367,54,63,1,1
Dec.22,2호선,221,역삼,36,0,3497,6960,8763,38441,14554,137960,26299,345100,23968,308216,25559,136506,35312,75545,44106,64332,53055,68433,65748,55877,86838,50237,108314,49587,218143,62185,271961,69466,150225,40325,93043,22918,91321,19862,66879,17136,26694,10666,4694,3975,48,223,24,23,0,0
Dec.22,2호선,222,강남,214,17,9928,11366,19047,50560,37937,134902,62058,288898,52076,299135,51532,151955,70483,112848,87656,106602,103596,119800,116655,110897,146629,108385,171561,120192,252226,149932,309846,196812,203209,116283,162609,61219,191246,53454,182019,44673,93783,26671,17083,8671,176,397,280,59,0,0
Dec.22,2호선,223,교대(법원.검찰청),46,0,2676,6729,11418,24133,24255,49137,38247,149985,31220,146306,29531,71158,36331,65072,39424,57384,48430,58018,58681,52907,63295,51337,67832,55079,104226,75540,136662,85053,66246,45879,58087,26593,61954,25515,48776,23487,20795,12948,3713,4128,21,106,44,74,0,0
Dec.22,2호선,224,서초,26,4,1673,5141,8517,20993,16684,49012,28316,115615,28953,93007,24154,43824,32134,36718,28320,27190,37452,29721,38440,26684,46736,23203,51208,25947,74700,30296,98267,29302,43625,18719,32482,11476,32292,11496,20590,11462,7137,6639,1088,1876,10,33,1,13,0,0
Dec.22,2호선,225,방배,4,0,2377,2627,8466,11460,20709,25213,31212,71090,25308,53288,20226,31135,22304,25926,23997,26100,26328,26498,29471,26362,32745,25235,38665,28456,48654,34134,63622,38380,28939,27809,24183,17314,24887,17387,18803,17328,7593,10241,1558,3247,12,74,35,47,0,0
Dec.22,2호선,226,사당,115,10,11870,4169,25455,29960,73987,41872,101406,64931,78145,51343,49730,45531,46812,62241,53202,62077,56311,56425,63962,55905,68083,68708,71493,95534,82047,133829,96617,180381,69160,121820,68115,71292,79481,68975,77867,66764,43752,42455,6900,12645,101,1155,125,111,0,0
Dec.22,2호선,227,낙성대(강감찬),32,1,10938,2242,25518,10042,80942,18564,127828,37044,83403,30396,46941,26085,39733,24484,42656,28645,41972,29966,38730,33249,38129,39370,44288,45753,47827,61770,50257,98211,28469,87797,22387,56215,21873,54583,16464,55386,9291,36174,1590,10492,30,583,26,99,0,0
Dec.22,2호선,228,서울대입구(관악구청),4380,30,27309,2592,41347,14126,121152,27695,176884,61546,120476,60171,72693,51345,63822,48856,69781,54186,75950,60210,68347,62509,70924,70977,79370,83058,88191,111246,91891,171158,55330,143841,46908,87076,48194,82743,44726,85263,24268,53276,4216,19155,38,3771,111,158,0,171
Dec.22,2호선,229,봉천,82,1,14473,1438,26498,6831,79111,11450,122925,26349,74392,20805,42741,19462,34711,22682,36619,24815,36829,26924,32964,30145,31993,38314,33818,44552,34027,56157,34391,84003,20361,73613,16595,45319,14479,43623,11227,43085,4809,26774,1005,8678,11,641,22,40,0,11
Dec.22,2호선,230,신림,264,13,37109,4151,69495,18411,183863,27495,281037,46347,173349,44783,97375,41300,81218,49873,85173,56810,81070,62883,76652,69225,76658,87508,83391,106829,87063,140404,86341,226286,57801,204452,48879,127114,47822,124528,42512,119433,24732,78401,5032,24181,80,1230,92,160,0,0
Dec.22,2호선,231,신대방,166,1,22804,1782,33632,8824,86052,16212,133184,26531,82605,18308,46132,17457,37270,18872,37147,22238,35696,25303,31206,29201,30394,38867,33561,46378,35952,60842,34951,90201,20670,81976,15435,55038,12775,59388,9939,57685,4841,33812,939,9719,57,596,4,70,0,0
Dec.22,2호선,232,구로디지털단지,219,6,34862,5002,51960,19846,135663,75764,189948,235808,117329,145975,68898,62795,62650,48464,69079,50946,70589,61613,65767,62217,70394,70429,86081,85062,141113,113084,217942,166669,103008,137070,66728,86703,59051,88634,46856,85874,22025,54015,3676,14912,66,874,68,97,0,0
Dec.22,2호선,233,대림(구로구청),622,24,29272,3401,29900,10141,64353,20913,94793,53751,63353,33983,36759,30755,32761,34316,34931,32106,34357,34856,32478,33781,34093,41169,39085,49281,46122,60242,52044,67218,26655,52671,20042,37762,15332,47647,11654,46743,5729,23256,948,6244,29,482,11,52,0,3
Dec.22,2호선,234,신도림,3655,21,32235,5034,48786,20496,133994,40351,147820,112527,89759,68307,61522,63666,61016,66340,68937,68639,71815,73670,74552,69678,80945,79269,90943,92388,110634,121393,127924,182043,75208,123743,64807,72883,69377,72382,56081,71624,23683,55552,2988,24013,71,3241,70,268,1,279
Dec.22,2호선,235,문래,8,0,3809,1842,12846,10785,42144,35336,49040,125413,27605,60856,19922,26811,20547,23712,24694,25277,25760,27580,26548,25009,29625,27432,37708,32373,61838,41062,105907,59870,38090,40649,28122,22345,29432,20411,24958,18668,12225,12061,1900,3940,19,164,51,32,0,0
Dec.22,2호선,236,영등포구청,25,1,5054,2850,11608,13180,37002,36087,47437,126254,28907,55957,22825,27664,24129,25869,26710,26586,27843,29107,31143,27335,32921,28155,39362,31887,58109,39638,103324,56742,35992,36044,28458,22128,28485,20783,21926,19210,10152,13010,1633,4743,14,385,29,119,0,5
Dec.22,2호선,237,당산,19,1,5933,2831,16185,11813,43090,27140,56094,74377,33969,34836,24871,18955,23490,18763,25151,21639,24432,23194,23785,23266,25270,27706,29590,34616,41931,48709,58367,73927,25720,49434,20778,32396,21092,33026,18841,31697,9139,20496,1378,5466,23,348,37,118,0,3
Dec.22,2호선,238,합정,62,4,9650,2789,17816,14259,41797,32305,55585,93219,36556,83686,27916,51416,30687,52141,37304,54134,41598,60808,45604,57316,50908,58728,60760,69654,80240,91655,116369,123282,77425,82883,63368,43377,73517,36236,72579,32095,38646,22949,6675,8212,148,610,67,116,0,0
Dec.22,2호선,239,홍대입구,993,15,26912,3769,30664,18163,61455,38872,79567,102441,59014,126053,52868,98756,62484,120357,73076,146705,83754,159852,93724,156037,116226,159085,148810,170505,178014,199737,198203,242155,161339,172286,158613,100051,194177,82040,194279,70005,99989,49988,13539,17576,437,2787,278,228,0,113
Dec.22,2호선,240,신촌,82,6,7461,2883,14996,15193,35090,33234,54413,81897,38681,91304,37225,66630,45898,63408,58520,68999,62353,77286,65692,66149,76237,64776,90949,72084,104689,91209,98450,120273,69745,78429,73408,46026,76759,41007,77656,36858,37943,24482,7053,7877,124,522,211,124,0,0
Dec.22,2호선,241,이대,43,1,3224,970,8637,7073,24266,12736,35994,39642,22026,37593,18096,32192,20673,25648,27374,29404,27905,31527,27937,25717,33250,26819,37274,28530,46848,32874,38651,43876,24057,31421,21131,21145,19267,21242,16123,21436,6556,15410,946,4765,9,295,9,63,0,0
Dec.22,2호선,242,아현,7,0,4476,938,10024,5459,27184,11522,40033,22207,23920,12988,17929,10797,17253,10606,19217,12453,18567,13967,16157,14756,17923,17354,21561,18893,21982,24066,20297,33354,12118,24256,8856,16653,6610,17364,5079,15788,2291,9778,446,2990,16,84,4,31,0,0
Dec.22,2호선,243,충정로(경기대입구),39,0,2850,954,6388,7328,15276,20534,22770,60826,15101,27285,11257,13623,12335,11297,12894,11231,13664,12975,14518,12796,15000,13307,19145,14651,30345,17990,47124,23593,15030,15856,10418,10674,10547,10948,8356,9899,3838,6535,787,2294,13,106,8,37,0,4
Dec.22,2호선,244,용답,3,0,2263,207,2978,1313,7984,1741,13665,4100,7250,4386,5139,3307,4619,2968,4792,3450,5203,4101,4840,3926,5027,4586,5582,5964,5506,7137,4207,11191,2561,7414,1793,4802,1388,5972,1192,5402,545,3527,112,1223,0,8,0,0,0,0
Dec.22,2호선,245,신답,8,0,1165,144,1816,619,6080,919,11920,1772,5113,918,2623,1122,2210,1235,2296,1514,2123,1725,2079,2084,1922,2743,2130,3818,2177,4812,2344,10029,1094,6675,631,3565,565,3919,522,3285,225,2288,31,613,1,10,0,0,0,0
Dec.22,2호선,246,신설동,40,1,1420,342,1437,2026,4761,5407,8871,12991,5033,9028,4290,8000,5628,7450,6774,7289,7590,7862,8540,6967,9312,6222,10618,5610,11948,6010,13460,7661,4700,5634,3172,3871,2814,3572,1962,3382,762,2467,136,919,4,208,0,4,0,0
Dec.22,2호선,247,도림천,0,0,260,452,1250,1021,3461,3697,3761,6746,2280,2427,2397,1499,1744,1357,2331,2033,1873,1779,2372,1759,2320,1689,2999,2181,3038,2247,3743,3332,1861,2684,930,1639,811,1699,459,1238,182,1009,47,357,1,8,1,0,0,0
Dec.22,2호선,248,양천구청,25,0,4723,963,11043,2155,32439,4751,31303,10450,17923,5104,12587,4171,11261,5147,11058,6795,10139,8548,8410,9310,8433,11412,10017,14300,10412,19689,9496,29504,4205,23672,2884,14120,2436,14405,2354,12342,753,9697,155,3216,3,80,0,0,0,0
Dec.22,2호선,249,신정네거리,57,0,7948,890,17530,2852,49462,4605,48052,11373,25588,8389,17709,7329,16110,9164,16450,11042,15670,13157,13643,13707,12885,18395,14738,22745,14773,30291,12788,48204,7148,36134,5368,20847,4856,20518,3701,18603,1600,13029,289,3642,2,242,0,0,0,0
Dec.22,2호선,250,용두(동대문구청),26,1,1261,95,1532,950,5060,2484,9721,5532,4693,3453,3680,3103,3882,3567,4036,3575,4266,4338,4565,4500,5067,4920,5243,4532,5326,5253,5708,8495,2577,5330,1784,3020,1613,3311,927,2437,412,1609,71,600,1,15,0,0,0,0
Dec.22,3호선,309,지축,2,0,2732,517,9379,7392,26142,5905,25452,7424,13829,4461,9785,3864,8380,4383,8460,5915,8501,6470,7533,6754,9030,8671,12614,11066,10457,14512,7114,23341,5110,17989,3355,11704,2808,11193,2481,10071,1018,6146,258,1159,0,17,0,0,0,0
Dec.22,3호선,310,구파발,114,4,10510,1370,29712,9511,83278,25135,81555,28338,47423,24143,32420,25361,31618,24432,32363,28082,30452,30454,31147,31251,34909,31791,39864,38734,39276,43947,30745,74864,19330,60712,16269,35052,14591,33092,11572,30049,3379,22017,562,9601,4,569,3,72,0,80
Dec.22,3호선,311,연신내,217,7,24159,1577,48738,10661,123196,22998,147971,34546,88571,33320,59001,33203,55890,36811,63230,40859,56057,44826,52564,47119,53975,57953,61653,68855,54558,85372,47111,133990,31986,113614,26972,65738,25133,61048,21062,56610,9803,37537,1410,12989,14,185,22,67,0,2
Dec.22,3호선,312,불광,19,2,8859,1086,18684,4688,48013,10894,60381,29843,35135,27211,25587,23554,25081,24196,26640,26920,26420,29653,27087,29839,28965,32188,30830,35146,30786,40887,30143,58331,16726,45579,13738,27379,11933,24778,8221,23565,3392,14038,451,5050,6,86,4,50,0,0
Dec.22,3호선,313,녹번,81,3,9465,832,25191,3483,67696,8632,75980,17905,45232,10545,28853,9793,24424,10523,23912,13114,21974,14667,19704,16414,18552,21149,19810,28022,20951,35677,21413,61302,10017,50770,7441,30458,6448,28647,4778,26314,1784,15697,231,5051,3,65,1,23,0,0
Dec.22,3호선,314,홍제,102,5,9571,1314,22853,6514,61651,11502,70500,24279,44894,18876,32542,17183,30424,18088,32227,20802,28837,23197,27093,25310,27240,30866,30790,36123,30244,44292,27171,61755,14263,50806,11423,31260,9764,30124,7075,26471,2837,17059,462,4580,7,82,3,46,0,0
